symptoms of e coli,coli,signs of e coli,e coli symptoms,e coli,Cases
0.0,37.25,0.0,1.0,27.0,8.0
0.75,24.0,0.0,1.25,15.75,4.0
0.75,14.75,0.0,8.75,13.25,6.0
0.75,26.5,0.0,8.0,16.0,1.0
1.5,36.5,0.0,3.75,17.25,1.0
0.75,35.0,0.0,5.0,23.25,0.0
0.75,40.0,0.0,4.5,29.0,0.0
6.75,40.5,0.0,10.5,23.75,0.0
2.75,50.75,0.0,11.75,29.25,1.0
3.75,78.5,0.75,10.5,56.5,3.0
4.0,53.5,0.0,11.25,36.0,2.0
0.5,41.25,0.0,4.0,23.25,0.0
0.5,59.75,0.0,8.5,32.75,3.0
3.0,35.5,0.75,5.5,17.75,2.0
0.0,44.25,0.0,12.75,27.5,0.0
1.5,48.0,0.0,2.75,32.75,0.0
1.75,44.75,0.75,6.25,26.5,6.0
0.75,51.25,0.0,2.0,38.0,3.0
5.0,39.25,0.0,9.75,20.5,0.0
2.75,51.75,0.0,8.25,36.0,1.0
0.75,56.25,0.75,2.25,42.75,1.0
1.5,58.75,0.75,12.75,35.75,2.0
1.25,49.25,0.0,9.0,30.0,10.0
1.0,32.5,0.5,10.5,25.25,5.0
0.5,26.25,0.0,2.25,18.75,15.0
3.75,47.25,0.0,8.75,28.75,4.0
3.5,66.75,0.75,20.0,52.75,4.0
5.25,59.5,0.75,6.0,42.25,4.0
4.5,64.0,3.5,9.5,52.75,5.0
4.0,42.75,0.0,7.25,37.75,0.0
0.0,50.75,0.75,6.25,32.75,3.0
0.75,41.5,0.0,11.75,26.5,6.0
3.25,32.75,0.0,8.0,23.25,5.0
0.75,43.5,0.0,1.0,26.75,6.0
2.0,53.75,0.75,2.75,47.25,9.0
1.0,40.75,0.0,8.25,28.0,3.0
4.25,37.25,0.0,16.75,28.25,2.0
0.75,41.75,0.0,3.75,30.0,1.0
0.0,44.75,0.0,6.25,26.5,5.0
2.75,56.75,0.0,11.5,38.5,12.0
4.5,42.0,0.0,5.75,36.75,1.0
0.75,52.5,0.0,5.75,36.0,0.0
1.25,43.75,0.0,1.0,30.0,3.0
0.75,53.25,0.0,1.5,26.75,3.0
0.5,57.0,0.0,7.25,30.0,2.0
1.25,42.75,0.0,1.5,25.25,1.0
0.75,46.75,0.0,2.0,30.5,4.0
0.75,34.75,0.0,8.25,23.5,6.0
1.25,57.25,0.0,2.0,39.5,5.0
